date,doctor_id,shift_start,shift_end,support_staff_present,support_staff_rostered
2026-08-07,DOC_ORT_2,2026-08-07 09:00:00,2026-08-07 17:00:00,2,2
2026-08-07,DOC_PED_1,2026-08-07 09:00:00,2026-08-07 17:00:00,4,4
2026-08-07,DOC_PED_2,2026-08-07 09:00:00,2026-08-07 17:00:00,4,4
2026-08-10,DOC_GEN_1,2026-08-10 09:00:00,2026-08-10 17:00:00,3,3
2026-08-10,DOC_GEN_2,2026-08-10 09:00:00,2026-08-10 17:00:00,3,3
2026-08-10,DOC_CAR_1,2026-08-10 09:00:00,2026-08-10 17:00:00,2,3
2026-08-10,DOC_CAR_2,2026-08-10 09:00:00,2026-08-10 17:00:00,3,4
2026-08-10,DOC_ORT_1,2026-08-10 09:00:00,2026-08-10 17:00:00,3,3
2026-08-10,DOC_ORT_2,2026-08-10 09:00:00,2026-08-10 17:00:00,3,3
2026-08-10,DOC_PED_1,2026-08-10 09:00:00,2026-08-10 17:00:00,4,4
2026-08-10,DOC_PED_2,2026-08-10 09:00:00,2026-08-10 17:00:00,3,3
2026-08-11,DOC_GEN_1,2026-08-11 09:00:00,2026-08-11 17:00:00,3,3
2026-08-11,DOC_GEN_2,2026-08-11 09:00:00,2026-08-11 17:00:00,4,4
2026-08-11,DOC_CAR_1,2026-08-11 09:00:00,2026-08-11 17:00:00,2,2
2026-08-11,DOC_CAR_2,2026-08-11 09:00:00,2026-08-11 17:00:00,4,4
2026-08-11,DOC_ORT_1,2026-08-11 09:00:00,2026-08-11 17:00:00,1,2
2026-08-11,DOC_ORT_2,2026-08-11 09:00:00,2026-08-11 17:00:00,2,2
2026-08-11,DOC_PED_1,2026-08-11 09:00:00,2026-08-11 17:00:00,4,4
2026-08-11,DOC_PED_2,2026-08-11 09:00:00,2026-08-11 17:00:00,4,4
2026-08-12,DOC_GEN_1,2026-08-12 09:00:00,2026-08-12 17:00:00,2,2
2026-08-12,DOC_GEN_2,2026-08-12 09:00:00,2026-08-12 17:00:00,3,3
2026-08-12,DOC_CAR_1,2026-08-12 09:00:00,2026-08-12 17:00:00,4,4
2026-08-12,DOC_CAR_2,2026-08-12 09:00:00,2026-08-12 17:00:00,4,4
2026-08-12,DOC_ORT_1,2026-08-12 09:00:00,2026-08-12 17:00:00,2,2
2026-08-12,DOC_ORT_2,2026-08-12 09:00:00,2026-08-12 17:00:00,4,4
2026-08-12,DOC_PED_1,2026-08-12 09:00:00,2026-08-12 17:00:00,2,2
2026-08-12,DOC_PED_2,2026-08-12 09:00:00,2026-08-12 17:00:00,3,3
2026-08-13,DOC_GEN_1,2026-08-13 09:00:00,2026-08-13 17:00:00,4,4
2026-08-13,DOC_GEN_2,2026-08-13 09:00:00,2026-08-13 17:00:00,4,4
2026-08-13,DOC_CAR_1,2026-08-13 09:00:00,2026-08-13 17:00:00,3,3
2026-08-13,DOC_CAR_2,2026-08-13 09:00:00,2026-08-13 17:00:00,3,3
2026-08-13,DOC_ORT_1,2026-08-13 09:00:00,2026-08-13 17:00:00,2,2
2026-08-13,DOC_ORT_2,2026-08-13 09:00:00,2026-08-13 17:00:00,4,4
2026-08-13,DOC_PED_1,2026-08-13 09:00:00,2026-08-13 17:00:00,2,2
2026-08-13,DOC_PED_2,2026-08-13 09:00:00,2026-08-13 17:00:00,3,3
2026-08-14,DOC_GEN_1,2026-08-14 09:00:00,2026-08-14 17:00:00,4,4
2026-08-14,DOC_GEN_2,2026-08-14 09:00:00,2026-08-14 17:00:00,4,4
2026-08-14,DOC_CAR_1,2026-08-14 09:00:00,2026-08-14 17:00:00,3,3
2026-08-14,DOC_CAR_2,2026-08-14 09:00:00,2026-08-14 17:00:00,4,4
2026-08-14,DOC_ORT_1,2026-08-14 09:00:00,2026-08-14 17:00:00,3,3
2026-08-14,DOC_ORT_2,2026-08-14 09:00:00,2026-08-14 17:00:00,2,2
2026-08-14,DOC_PED_1,2026-08-14 09:00:00,2026-08-14 17:00:00,4,4
2026-08-14,DOC_PED_2,2026-08-14 09:00:00,2026-08-14 17:00:00,3,3
2026-08-17,DOC_GEN_1,2026-08-17 09:00:00,2026-08-17 17:00:00,3,3
2026-08-17,DOC_GEN_2,2026-08-17 09:00:00,2026-08-17 17:00:00,3,3
2026-08-17,DOC_CAR_1,2026-08-17 09:00:00,2026-08-17 17:00:00,3,3
2026-08-17,DOC_CAR_2,2026-08-17 09:00:00,2026-08-17 17:00:00,3,3
2026-08-17,DOC_ORT_1,2026-08-17 09:00:00,2026-08-17 17:00:00,3,3
2026-08-17,DOC_ORT_2,2026-08-17 09:00:00,2026-08-17 17:00:00,2,2
2026-08-17,DOC_PED_1,2026-08-17 09:00:00,2026-08-17 17:00:00,1,2
2026-08-17,DOC_PED_2,2026-08-17 09:00:00,2026-08-17 17:00:00,3,3
2026-08-18,DOC_GEN_1,2026-08-18 09:00:00,2026-08-18 17:00:00,4,4
2026-08-18,DOC_GEN_2,2026-08-18 09:00:00,2026-08-18 17:00:00,2,2
2026-08-18,DOC_CAR_1,2026-08-18 09:00:00,2026-08-18 17:00:00,3,3
2026-08-18,DOC_CAR_2,2026-08-18 09:00:00,2026-08-18 17:00:00,3,3
2026-08-18,DOC_ORT_1,2026-08-18 09:00:00,2026-08-18 17:00:00,3,4
2026-08-18,DOC_ORT_2,2026-08-18 09:00:00,2026-08-18 17:00:00,4,4
2026-08-18,DOC_PED_1,2026-08-18 09:00:00,2026-08-18 17:00:00,2,3
2026-08-18,DOC_PED_2,2026-08-18 09:00:00,2026-08-18 17:00:00,2,2
2026-08-19,DOC_GEN_1,2026-08-19 09:00:00,2026-08-19 17:00:00,4,4
2026-08-19,DOC_GEN_2,2026-08-19 09:00:00,2026-08-19 17:00:00,2,2
2026-08-19,DOC_CAR_1,2026-08-19 09:00:00,2026-08-19 17:00:00,2,2
2026-08-19,DOC_CAR_2,2026-08-19 09:00:00,2026-08-19 17:00:00,4,4
2026-08-19,DOC_ORT_1,2026-08-19 09:00:00,2026-08-19 17:00:00,2,2
2026-08-19,DOC_ORT_2,2026-08-19 09:00:00,2026-08-19 17:00:00,3,3
2026-08-19,DOC_PED_1,2026-08-19 09:00:00,2026-08-19 17:00:00,4,4
2026-08-19,DOC_PED_2,2026-08-19 09:00:00,2026-08-19 17:00:00,3,3
2026-08-20,DOC_GEN_1,2026-08-20 09:00:00,2026-08-20 17:00:00,3,3
2026-08-20,DOC_GEN_2,2026-08-20 09:00:00,2026-08-20 17:00:00,4,4
2026-08-20,DOC_CAR_1,2026-08-20 09:00:00,2026-08-20 17:00:00,4,4
2026-08-20,DOC_CAR_2,2026-08-20 09:00:00,2026-08-20 17:00:00,2,2
2026-08-20,DOC_ORT_1,2026-08-20 09:00:00,2026-08-20 17:00:00,2,2
2026-08-20,DOC_ORT_2,2026-08-20 09:00:00,2026-08-20 17:00:00,3,3
2026-08-20,DOC_PED_1,2026-08-20 09:00:00,2026-08-20 17:00:00,2,2
2026-08-20,DOC_PED_2,2026-08-20 09:00:00,2026-08-20 17:00:00,1,2
2026-08-21,DOC_GEN_1,2026-08-21 09:00:00,2026-08-21 17:00:00,2,2
2026-08-21,DOC_GEN_2,2026-08-21 09:00:00,2026-08-21 17:00:00,3,4
2026-08-21,DOC_CAR_1,2026-08-21 09:00:00,2026-08-21 17:00:00,4,4
2026-08-21,DOC_CAR_2,2026-08-21 09:00:00,2026-08-21 17:00:00,3,4
2026-08-21,DOC_ORT_1,2026-08-21 09:00:00,2026-08-21 17:00:00,3,3
2026-08-21,DOC_ORT_2,2026-08-21 09:00:00,2026-08-21 17:00:00,2,2
2026-08-21,DOC_PED_1,2026-08-21 09:00:00,2026-08-21 17:00:00,2,2
2026-08-21,DOC_PED_2,2026-08-21 09:00:00,2026-08-21 17:00:00,3,3
2026-08-24,DOC_GEN_1,2026-08-24 09:00:00,2026-08-24 17:00:00,3,3
2026-08-24,DOC_GEN_2,2026-08-24 09:00:00,2026-08-24 17:00:00,4,4
2026-08-24,DOC_CAR_1,2026-08-24 09:00:00,2026-08-24 17:00:00,2,2
2026-08-24,DOC_CAR_2,2026-08-24 09:00:00,2026-08-24 17:00:00,4,4
2026-08-24,DOC_ORT_1,2026-08-24 09:00:00,2026-08-24 17:00:00,3,3
2026-08-24,DOC_ORT_2,2026-08-24 09:00:00,2026-08-24 17:00:00,4,4
2026-08-24,DOC_PED_1,2026-08-24 09:00:00,2026-08-24 17:00:00,3,3
2026-08-24,DOC_PED_2,2026-08-24 09:00:00,2026-08-24 17:00:00,4,4
2026-08-25,DOC_GEN_1,2026-08-25 09:00:00,2026-08-25 17:00:00,3,3
2026-08-25,DOC_GEN_2,2026-08-25 09:00:00,2026-08-25 17:00:00,2,2
2026-08-25,DOC_CAR_1,2026-08-25 09:00:00,2026-08-25 17:00:00,2,2
2026-08-25,DOC_CAR_2,2026-08-25 09:00:00,2026-08-25 17:00:00,4,4
2026-08-25,DOC_ORT_1,2026-08-25 09:00:00,2026-08-25 17:00:00,4,4
2026-08-25,DOC_ORT_2,2026-08-25 09:00:00,2026-08-25 17:00:00,4,4
2026-08-25,DOC_PED_1,2026-08-25 09:00:00,2026-08-25 17:00:00,2,2
2026-08-25,DOC_PED_2,2026-08-25 09:00:00,2026-08-25 17:00:00,3,3
2026-08-26,DOC_GEN_1,2026-08-26 09:00:00,2026-08-26 17:00:00,4,4
2026-08-26,DOC_GEN_2,2026-08-26 09:00:00,2026-08-26 17:00:00,3,3
2026-08-26,DOC_CAR_1,2026-08-26 09:00:00,2026-08-26 17:00:00,3,3
2026-08-26,DOC_CAR_2,2026-08-26 09:00:00,2026-08-26 17:00:00,4,4
2026-08-26,DOC_ORT_1,2026-08-26 09:00:00,2026-08-26 17:00:00,3,3
2026-08-26,DOC_ORT_2,2026-08-26 09:00:00,2026-08-26 17:00:00,4,4
2026-08-26,DOC_PED_1,2026-08-26 09:00:00,2026-08-26 17:00:00,3,3
2026-08-26,DOC_PED_2,2026-08-26 09:00:00,2026-08-26 17:00:00,2,2
2026-08-27,DOC_GEN_1,2026-08-27 09:00:00,2026-08-27 17:00:00,4,4
2026-08-27,DOC_GEN_2,2026-08-27 09:00:00,2026-08-27 17:00:00,4,4
2026-08-27,DOC_CAR_1,2026-08-27 09:00:00,2026-08-27 17:00:00,3,3
2026-08-27,DOC_CAR_2,2026-08-27 09:00:00,2026-08-27 17:00:00,2,3
2026-08-27,DOC_ORT_1,2026-08-27 09:00:00,2026-08-27 17:00:00,4,4
2026-08-27,DOC_ORT_2,2026-08-27 09:00:00,2026-08-27 17:00:00,4,4
2026-08-27,DOC_PED_1,2026-08-27 09:00:00,2026-08-27 17:00:00,2,2
2026-08-27,DOC_PED_2,2026-08-27 09:00:00,2026-08-27 17:00:00,2,2
2026-08-28,DOC_GEN_1,2026-08-28 09:00:00,2026-08-28 17:00:00,4,4
2026-08-28,DOC_GEN_2,2026-08-28 09:00:00,2026-08-28 17:00:00,4,4
2026-08-28,DOC_CAR_1,2026-08-28 09:00:00,2026-08-28 17:00:00,4,4
2026-08-28,DOC_CAR_2,2026-08-28 09:00:00,2026-08-28 17:00:00,4,4
2026-08-28,DOC_ORT_1,2026-08-28 09:00:00,2026-08-28 17:00:00,3,3
2026-08-28,DOC_ORT_2,2026-08-28 09:00:00,2026-08-28 17:00:00,4,4
2026-08-28,DOC_PED_1,2026-08-28 09:00:00,2026-08-28 17:00:00,3,3
2026-08-28,DOC_PED_2,2026-08-28 09:00:00,2026-08-28 17:00:00,2,2
2026-08-31,DOC_GEN_1,2026-08-31 09:00:00,2026-08-31 17:00:00,4,4
2026-08-31,DOC_GEN_2,2026-08-31 09:00:00,2026-08-31 17:00:00,2,2
2026-08-31,DOC_CAR_1,2026-08-31 09:00:00,2026-08-31 17:00:00,2,2
2026-08-31,DOC_CAR_2,2026-08-31 09:00:00,2026-08-31 17:00:00,3,3
2026-08-31,DOC_ORT_1,2026-08-31 09:00:00,2026-08-31 17:00:00,4,4
2026-08-31,DOC_ORT_2,2026-08-31 09:00:00,2026-08-31 17:00:00,2,2
2026-08-31,DOC_PED_1,2026-08-31 09:00:00,2026-08-31 17:00:00,4,4
2026-08-31,DOC_PED_2,2026-08-31 09:00:00,2026-08-31 17:00:00,4,4
2026-09-01,DOC_GEN_1,2026-09-01 09:00:00,2026-09-01 17:00:00,3,3
2026-09-01,DOC_GEN_2,2026-09-01 09:00:00,2026-09-01 17:00:00,3,3
2026-09-01,DOC_CAR_1,2026-09-01 09:00:00,2026-09-01 17:00:00,4,4
2026-09-01,DOC_CAR_2,2026-09-01 09:00:00,2026-09-01 17:00:00,2,2
2026-09-01,DOC_ORT_1,2026-09-01 09:00:00,2026-09-01 17:00:00,4,4
2026-09-01,DOC_ORT_2,2026-09-01 09:00:00,2026-09-01 17:00:00,2,2
2026-09-01,DOC_PED_1,2026-09-01 09:00:00,2026-09-01 17:00:00,4,4
2026-09-01,DOC_PED_2,2026-09-01 09:00:00,2026-09-01 17:00:00,2,2
2026-09-02,DOC_GEN_1,2026-09-02 09:00:00,2026-09-02 17:00:00,4,4
2026-09-02,DOC_GEN_2,2026-09-02 09:00:00,2026-09-02 17:00:00,3,3
2026-09-02,DOC_CAR_1,2026-09-02 09:00:00,2026-09-02 17:00:00,3,3
2026-09-02,DOC_CAR_2,2026-09-02 09:00:00,2026-09-02 17:00:00,2,2
2026-09-02,DOC_ORT_1,2026-09-02 09:00:00,2026-09-02 17:00:00,3,3
2026-09-02,DOC_ORT_2,2026-09-02 09:00:00,2026-09-02 17:00:00,4,4
2026-09-02,DOC_PED_1,2026-09-02 09:00:00,2026-09-02 17:00:00,4,4
2026-09-02,DOC_PED_2,2026-09-02 09:00:00,2026-09-02 17:00:00,2,2
2026-09-03,DOC_GEN_1,2026-09-03 09:00:00,2026-09-03 17:00:00,3,3
2026-09-03,DOC_GEN_2,2026-09-03 09:00:00,2026-09-03 17:00:00,2,2
2026-09-03,DOC_CAR_1,2026-09-03 09:00:00,2026-09-03 17:00:00,4,4
2026-09-03,DOC_CAR_2,2026-09-03 09:00:00,2026-09-03 17:00:00,2,2
2026-09-03,DOC_ORT_1,2026-09-03 09:00:00,2026-09-03 17:00:00,2,2
2026-09-03,DOC_ORT_2,2026-09-03 09:00:00,2026-09-03 17:00:00,3,3
2026-09-03,DOC_PED_1,2026-09-03 09:00:00,2026-09-03 17:00:00,3,3
2026-09-03,DOC_PED_2,2026-09-03 09:00:00,2026-09-03 17:00:00,3,3
