snapshot_time,current_active_census,arrivals_15m,arrivals_30m,arrivals_60m,arrivals_120m,departures_15m,departures_30m,departures_60m,net_flow_60m,high_acuity_ratio,mean_time_in_system,hour_of_day,day_of_week,month,arrival_rate_trend,target_census_30m,target_census_60m,target_census_120m,congestion_tier_30m,congestion_tier_60m,congestion_tier_120m
2024-01-02 06:04:04,14,2,2,4,5,2,3,5,-1,0.14285714285714285,233.97738095238094,6,1,1,1.0,15,16,14,low,low,low
2024-01-02 06:34:04,15,2,2,4,6,0,1,4,0,0.13333333333333333,235.6611111111111,6,1,1,1.0,16,13,20,low,low,low
2024-01-02 07:04:04,16,2,2,4,8,1,1,2,2,0.1875,200.32708333333332,7,1,1,1.0,13,14,28,low,low,moderate
2024-01-02 07:34:04,13,1,1,3,7,3,4,5,-2,0.23076923076923078,200.37435897435898,7,1,1,0.6666666666666666,14,20,34,low,low,busy
2024-01-02 08:04:04,14,0,2,3,7,0,1,5,-2,0.21428571428571427,207.82857142857145,8,1,1,1.3333333333333333,20,28,39,low,moderate,busy
2024-01-02 08:34:04,20,6,7,9,12,1,1,2,7,0.3,162.81666666666666,8,1,1,1.5555555555555556,28,34,44,moderate,busy,busy
2024-01-02 09:04:04,28,3,9,16,19,0,1,2,14,0.21428571428571427,107.76964285714286,9,1,1,1.125,34,39,46,busy,busy,critical
2024-01-02 09:34:04,34,4,8,17,26,2,2,3,14,0.17647058823529413,104.38137254901962,9,1,1,0.9411764705882353,39,44,47,busy,busy,critical
2024-01-02 10:04:04,39,4,8,16,32,3,3,5,11,0.10256410256410256,104.5059829059829,10,1,1,1.0,44,46,47,busy,critical,critical
2024-01-02 10:34:04,44,5,7,15,32,1,2,5,10,0.11363636363636363,115.80795454545455,10,1,1,0.9333333333333333,46,47,48,critical,critical,critical
2024-01-02 11:04:04,46,2,4,11,27,1,2,4,7,0.10869565217391304,127.56304347826087,11,1,1,0.7272727272727273,47,47,48,critical,critical,critical
2024-01-02 11:34:04,47,1,5,9,24,2,4,6,3,0.10638297872340426,143.2932624113475,11,1,1,1.1111111111111112,47,48,41,critical,critical,busy
2024-01-02 12:04:04,47,4,6,11,22,4,6,10,1,0.10638297872340426,153.5695035460993,12,1,1,1.0909090909090908,48,48,42,critical,critical,busy
2024-01-02 12:34:04,48,3,6,12,21,1,5,11,1,0.14583333333333334,160.275,12,1,1,1.0,48,41,46,critical,busy,critical
2024-01-02 13:04:04,48,3,7,13,24,4,7,12,1,0.14583333333333334,139.85520833333334,13,1,1,1.0769230769230769,41,42,44,busy,busy,busy
2024-01-02 13:34:04,41,1,1,8,20,4,8,15,-7,0.14634146341463414,158.61260162601627,13,1,1,0.25,42,46,38,busy,critical,busy
2024-01-02 14:04:04,42,1,4,5,18,2,3,11,-6,0.16666666666666666,172.5218253968254,14,1,1,1.6,46,44,39,critical,busy,busy
2024-01-02 14:34:04,46,5,8,12,20,2,4,7,5,0.17391304347826086,165.3536231884058,14,1,1,1.3333333333333333,44,38,43,busy,busy,busy
2024-01-02 15:04:04,44,2,4,12,17,2,6,10,2,0.20454545454545456,178.15568181818182,15,1,1,0.6666666666666666,38,39,44,busy,busy,busy
2024-01-02 15:34:04,38,4,4,8,20,3,10,16,-8,0.21052631578947367,168.2890350877193,15,1,1,1.0,39,43,49,busy,busy,critical
2024-01-02 16:04:04,39,2,6,10,22,1,5,15,-5,0.23076923076923078,167.11452991452992,16,1,1,1.2,43,44,48,busy,busy,critical
2024-01-02 16:34:04,43,2,6,12,20,2,2,7,5,0.23255813953488372,170.0174418604651,16,1,1,1.0,44,49,53,busy,critical,critical
2024-01-02 17:04:04,44,3,5,11,21,1,4,6,5,0.22727272727272727,173.40113636363637,17,1,1,0.9090909090909091,49,48,50,critical,critical,critical
2024-01-02 17:34:04,49,3,7,12,24,1,2,6,6,0.24489795918367346,177.1982993197279,17,1,1,1.1666666666666667,48,53,46,critical,critical,critical
2024-01-02 18:04:04,48,1,2,9,20,1,3,5,4,0.25,186.4732638888889,18,1,1,0.4444444444444444,53,50,43,critical,critical,busy
2024-01-02 18:34:04,53,2,10,12,24,2,5,8,4,0.24528301886792453,180.56698113207545,18,1,1,1.6666666666666667,50,46,40,critical,critical,busy
2024-01-02 19:04:04,50,2,5,15,24,4,8,13,2,0.3,170.607,19,1,1,0.6666666666666666,46,43,36,critical,busy,busy
2024-01-02 19:34:04,46,4,5,10,22,3,9,17,-7,0.32608695652173914,170.29601449275364,19,1,1,1.0,43,40,34,busy,busy,busy
2024-01-02 20:04:04,43,1,1,6,21,3,4,13,-7,0.3023255813953488,186.47713178294575,20,1,1,0.3333333333333333,40,36,28,busy,busy,moderate
2024-01-02 20:34:04,40,1,2,3,13,2,5,9,-6,0.3,204.51000000000002,20,1,1,1.3333333333333333,36,34,27,busy,busy,moderate
2024-01-02 21:04:04,36,0,0,2,8,0,4,9,-7,0.3055555555555556,232.71990740740742,21,1,1,0.0,34,28,24,busy,moderate,moderate
2024-01-02 21:34:04,34,0,2,2,5,2,4,8,-6,0.29411764705882354,247.0720588235294,21,1,1,2.0,28,27,25,moderate,moderate,moderate
2024-01-02 22:04:04,28,0,0,2,4,2,6,10,-8,0.2857142857142857,262.53035714285716,22,1,1,0.0,27,24,24,moderate,moderate,moderate
2024-01-02 22:34:04,27,1,2,2,4,1,3,9,-7,0.25925925925925924,271.4259259259259,22,1,1,2.0,24,25,22,moderate,moderate,low
2024-01-02 23:04:04,24,0,1,3,5,1,4,7,-4,0.2916666666666667,278.97430555555553,23,1,1,0.6666666666666666,25,24,20,moderate,moderate,low
2024-01-02 23:34:04,25,3,3,4,6,1,2,6,-2,0.24,279.4353333333333,23,1,1,1.5,24,22,20,moderate,low,low
2024-01-03 00:04:04,24,1,3,6,9,3,4,6,0,0.2916666666666667,256.22222222222223,0,2,1,1.0,22,20,20,low,low,low
2024-01-03 00:34:04,22,1,3,6,10,5,5,9,-3,0.22727272727272727,224.71818181818182,0,2,1,1.0,20,20,24,low,low,moderate
2024-01-03 01:04:04,20,1,2,5,11,2,4,9,-4,0.25,214.145,1,2,1,0.8,20,20,21,low,low,low
2024-01-03 01:34:04,20,1,4,6,12,2,4,8,-2,0.25,190.9116666666667,1,2,1,1.3333333333333333,20,24,21,low,moderate,low
2024-01-03 02:04:04,20,1,1,5,10,1,1,5,0,0.25,211.08333333333334,2,2,1,0.4,24,21,19,moderate,low,low
2024-01-03 02:34:04,24,2,4,5,11,0,0,1,4,0.2916666666666667,203.72083333333333,2,2,1,1.6,21,21,18,low,low,low
2024-01-03 03:04:04,21,1,2,6,11,2,5,5,1,0.3333333333333333,178.26031746031745,3,2,1,0.6666666666666666,21,19,16,low,low,low
2024-01-03 03:34:04,21,0,2,4,9,1,2,7,-3,0.3333333333333333,194.0388888888889,3,2,1,1.0,19,18,16,low,low,low
2024-01-03 04:04:04,19,0,0,2,8,1,2,4,-2,0.3157894736842105,239.19824561403507,4,2,1,0.0,18,16,19,low,low,low
2024-01-03 04:34:04,18,0,0,0,4,0,1,3,-3,0.3333333333333333,266.7990740740741,4,2,1,1.0,16,16,19,low,low,low
2024-01-03 05:04:04,16,1,2,2,4,1,4,5,-3,0.25,268.96770833333335,5,2,1,2.0,16,19,19,low,low,low
2024-01-03 05:34:04,16,1,1,3,3,1,1,5,-2,0.25,283.38125,5,2,1,0.6666666666666666,19,19,20,low,low,low
2024-01-03 06:04:04,19,2,4,5,7,1,1,2,3,0.21052631578947367,246.53070175438597,6,2,1,1.6,19,19,16,low,low,low
2024-01-03 06:34:04,19,1,2,6,9,1,2,3,3,0.2631578947368421,243.45789473684212,6,2,1,0.6666666666666666,19,20,21,low,low,low
2024-01-03 07:04:04,19,1,2,4,9,1,2,4,0,0.21052631578947367,189.89912280701756,7,2,1,1.0,20,16,23,low,low,moderate
2024-01-03 07:34:04,20,1,1,3,9,0,0,2,1,0.2,208.9725,7,2,1,0.6666666666666666,16,21,26,low,low,moderate
2024-01-03 08:04:04,16,0,0,1,5,1,4,4,-3,0.1875,215.06666666666666,8,2,1,0.0,21,23,26,low,moderate,moderate
2024-01-03 08:34:04,21,2,5,5,8,0,0,4,1,0.19047619047619047,190.17301587301588,8,2,1,2.0,23,26,28,moderate,moderate,moderate
2024-01-03 09:04:04,23,2,6,11,12,1,4,4,7,0.21739130434782608,145.81159420289856,9,2,1,1.0909090909090908,26,26,36,moderate,moderate,busy
2024-01-03 09:34:04,26,3,5,11,16,1,2,6,5,0.2692307692307692,121.60192307692309,9,2,1,0.9090909090909091,26,28,35,moderate,moderate,busy
2024-01-03 10:04:04,26,4,4,9,20,4,4,6,3,0.3076923076923077,121.5852564102564,10,2,1,0.8888888888888888,28,36,32,moderate,busy,moderate
2024-01-03 10:34:04,28,4,7,11,22,3,5,9,2,0.2857142857142857,113.4095238095238,10,2,1,1.2727272727272727,36,35,39,busy,busy,busy
2024-01-03 11:04:04,36,7,10,17,26,1,2,7,10,0.2777777777777778,101.0875,11,2,1,1.1764705882352942,35,32,40,busy,moderate,busy
2024-01-03 11:34:04,35,2,2,12,23,3,3,5,7,0.22857142857142856,110.82809523809524,11,2,1,0.3333333333333333,32,39,42,moderate,busy,busy
2024-01-03 12:04:04,32,0,0,2,19,3,3,6,-4,0.25,139.33802083333333,12,2,1,0.0,39,40,47,busy,busy,critical
2024-01-03 12:34:04,39,2,7,7,19,0,0,3,4,0.20512820512820512,142.11282051282052,12,2,1,2.0,40,42,50,busy,busy,critical
2024-01-03 13:04:04,40,1,4,11,13,1,3,3,8,0.2,158.23,13,2,1,0.7272727272727273,42,47,50,busy,critical,critical
2024-01-03 13:34:04,42,4,7,11,18,3,5,8,3,0.23809523809523808,148.48214285714283,13,2,1,1.2727272727272727,47,50,54,critical,critical,critical
2024-01-03 14:04:04,47,3,7,14,25,0,2,7,7,0.2127659574468085,151.20425531914896,14,2,1,1.0,50,50,58,critical,critical,critical
2024-01-03 14:34:04,50,7,8,15,26,3,5,7,8,0.26,144.145,14,2,1,1.0666666666666667,50,54,55,critical,critical,critical
2024-01-03 15:04:04,50,1,5,13,27,2,5,10,3,0.24,152.8,15,2,1,0.7692307692307693,54,58,53,critical,critical,critical
2024-01-03 15:34:04,54,4,6,11,26,1,2,7,4,0.2037037037037037,154.75987654320988,15,2,1,1.0909090909090908,58,55,56,critical,critical,critical
2024-01-03 16:04:04,58,2,7,13,26,1,3,5,8,0.25862068965517243,161.7816091954023,16,2,1,1.0769230769230769,55,53,58,critical,critical,critical
2024-01-03 16:34:04,55,3,7,14,25,6,10,13,1,0.2727272727272727,158.6990909090909,16,2,1,1.0,53,56,54,critical,critical,critical
2024-01-03 17:04:04,53,2,3,10,23,3,5,15,-5,0.3018867924528302,184.31729559748428,17,2,1,0.6,56,58,53,critical,critical,critical
2024-01-03 17:34:04,56,1,5,8,22,2,2,7,1,0.26785714285714285,199.91517857142856,17,2,1,1.25,58,54,55,critical,critical,critical
2024-01-03 18:04:04,58,4,6,11,21,2,4,6,5,0.25862068965517243,204.55114942528735,18,2,1,1.0909090909090908,54,53,55,critical,critical,critical
2024-01-03 18:34:04,54,1,1,7,15,1,5,9,-2,0.2777777777777778,220.43549382716049,18,2,1,0.2857142857142857,53,55,50,critical,critical,critical
2024-01-03 19:04:04,53,3,5,6,17,2,6,11,-5,0.2641509433962264,226.23522012578619,19,2,1,1.6666666666666667,55,55,49,critical,critical,critical
2024-01-03 19:34:04,55,4,6,11,18,4,4,10,1,0.2545454545454545,223.23999999999998,19,2,1,1.0909090909090908,55,50,41,critical,critical,busy
2024-01-03 20:04:04,55,2,7,13,19,4,7,11,2,0.23636363636363636,220.17363636363638,20,2,1,1.0769230769230769,50,49,33,critical,critical,moderate
2024-01-03 20:34:04,50,1,2,9,20,2,7,14,-5,0.26,246.9813333333333,20,2,1,0.4444444444444444,49,41,29,critical,busy,moderate
2024-01-03 21:04:04,49,2,3,5,18,2,4,11,-6,0.2653061224489796,257.53877551020406,21,2,1,1.2,41,33,26,busy,moderate,moderate
2024-01-03 21:34:04,41,0,0,3,12,6,8,12,-9,0.21951219512195122,264.4979674796748,21,2,1,0.0,33,29,25,moderate,moderate,moderate
2024-01-03 22:04:04,33,1,1,1,6,4,10,17,-16,0.18181818181818182,283.5565656565657,22,2,1,2.0,29,26,24,moderate,moderate,moderate
2024-01-03 22:34:04,29,0,1,2,5,1,5,15,-13,0.1724137931034483,292.3471264367816,22,2,1,1.0,26,25,22,moderate,moderate,low
2024-01-03 23:04:04,26,0,1,2,3,3,4,9,-7,0.19230769230769232,329.5147435897436,23,2,1,1.0,25,24,20,moderate,moderate,low
2024-01-03 23:34:04,25,1,2,3,5,1,3,7,-4,0.16,312.848,23,2,1,1.3333333333333333,24,22,23,moderate,low,moderate
2024-01-04 00:04:04,24,0,0,2,4,1,1,4,-2,0.16666666666666666,333.06458333333336,0,3,1,0.0,22,20,23,low,low,moderate
2024-01-04 00:34:04,22,0,0,0,3,0,2,3,-3,0.18181818181818182,375.5628787878788,0,3,1,1.0,20,23,20,low,moderate,low
2024-01-04 01:04:04,20,2,2,2,4,2,4,6,-4,0.25,341.05333333333334,1,3,1,2.0,23,23,17,moderate,moderate,low
2024-01-04 01:34:04,23,2,3,5,5,0,0,4,1,0.2608695652173913,323.97681159420284,1,3,1,1.2,23,20,18,moderate,low,low
2024-01-04 02:04:04,23,2,3,6,8,2,3,3,3,0.2608695652173913,323.48405797101447,2,3,1,1.0,20,17,14,low,low,low
2024-01-04 02:34:04,20,0,0,3,8,2,3,6,-3,0.3,341.2691666666667,2,3,1,0.0,17,18,14,low,low,low
2024-01-04 03:04:04,17,0,1,1,7,3,4,7,-6,0.35294117647058826,307.2196078431372,3,3,1,2.0,18,14,16,low,low,low
2024-01-04 03:34:04,18,0,2,3,6,1,1,5,-2,0.2777777777777778,286.0435185185185,3,3,1,1.3333333333333333,14,14,17,low,low,low
2024-01-04 04:04:04,14,1,1,3,4,2,5,6,-3,0.21428571428571427,273.90119047619044,4,3,1,0.6666666666666666,14,16,18,low,low,low
2024-01-04 04:34:04,14,0,0,1,4,0,0,5,-4,0.21428571428571427,303.90119047619044,4,3,1,0.0,16,17,20,low,low,low
2024-01-04 05:04:04,16,2,2,2,5,0,0,0,2,0.1875,292.84583333333336,5,3,1,2.0,17,18,15,low,low,low
2024-01-04 05:34:04,17,2,2,4,5,0,1,1,3,0.23529411764705882,291.4362745098039,5,3,1,1.0,18,20,15,low,low,low
2024-01-04 06:04:04,18,0,1,3,5,0,0,1,2,0.2777777777777778,304.56111111111113,6,3,1,0.6666666666666666,20,15,15,low,low,low
2024-01-04 06:34:04,20,1,3,4,8,0,1,1,3,0.3,271.34416666666664,6,3,1,1.5,15,15,20,low,low,low
2024-01-04 07:04:04,15,0,0,3,6,2,5,6,-3,0.3333333333333333,277.82,7,3,1,0.0,15,15,21,low,low,low
2024-01-04 07:34:04,15,0,1,1,5,0,1,6,-5,0.4,284.98333333333335,7,3,1,2.0,15,20,23,low,low,moderate
2024-01-04 08:04:04,15,0,2,3,6,1,2,3,0,0.26666666666666666,283.40222222222224,8,3,1,1.3333333333333333,20,21,25,low,low,moderate
2024-01-04 08:34:04,20,5,6,8,9,1,1,3,5,0.4,216.38583333333332,8,3,1,1.5,21,23,28,low,moderate,moderate
2024-01-04 09:04:04,21,1,3,9,12,2,2,3,6,0.38095238095238093,212.36507936507937,9,3,1,0.6666666666666666,23,25,27,moderate,moderate,moderate
2024-01-04 09:34:04,23,2,4,7,15,0,2,4,3,0.34782608695652173,201.65289855072464,9,3,1,1.1428571428571428,25,28,31,moderate,moderate,moderate
2024-01-04 10:04:04,25,1,3,7,16,0,1,3,4,0.28,204.806,10,3,1,0.8571428571428571,28,27,37,moderate,moderate,busy
2024-01-04 10:34:04,28,4,5,8,15,1,2,3,5,0.25,202.89285714285717,10,3,1,1.25,27,31,39,moderate,moderate,busy
2024-01-04 11:04:04,27,0,2,7,14,3,3,5,2,0.2222222222222222,222.52962962962962,11,3,1,0.5714285714285714,31,37,48,moderate,busy,critical
2024-01-04 11:34:04,31,4,7,9,17,3,3,6,3,0.1935483870967742,206.28924731182798,11,3,1,1.5555555555555556,37,39,47,busy,busy,critical
2024-01-04 12:04:04,37,6,9,16,23,2,3,6,10,0.16216216216216217,186.76396396396396,12,3,1,1.125,39,48,45,busy,critical,critical
2024-01-04 12:34:04,39,2,4,13,22,0,2,5,8,0.15384615384615385,187.6346153846154,12,3,1,0.6153846153846154,48,47,49,critical,critical,critical
2024-01-04 13:04:04,48,4,9,13,29,0,0,2,11,0.20833333333333334,179.58402777777778,13,3,1,1.3846153846153846,47,45,47,critical,critical,critical
2024-01-04 13:34:04,47,1,4,13,26,2,5,5,8,0.23404255319148937,166.5936170212766,13,3,1,0.6153846153846154,45,49,51,critical,critical,critical
2024-01-04 14:04:04,45,2,3,7,20,4,5,10,-3,0.24444444444444444,185.5325925925926,14,3,1,0.8571428571428571,49,47,53,critical,critical,critical
2024-01-04 14:34:04,49,4,5,8,21,0,1,6,2,0.24489795918367346,196.03197278911563,14,3,1,1.25,47,51,51,critical,critical,critical
2024-01-04 15:04:04,47,1,2,7,14,1,4,5,2,0.23404255319148937,213.83510638297872,15,3,1,0.5714285714285714,51,53,56,critical,critical,critical
2024-01-04 15:34:04,51,5,5,7,15,0,1,5,2,0.21568627450980393,216.140522875817,15,3,1,1.4285714285714286,53,51,58,critical,critical,critical
2024-01-04 16:04:04,53,2,6,11,18,3,4,5,6,0.20754716981132076,218.7663522012579,16,3,1,1.0909090909090908,51,56,56,critical,critical,critical
2024-01-04 16:34:04,51,2,4,10,17,2,6,10,0,0.21568627450980393,222.0859477124183,16,3,1,0.8,56,58,56,critical,critical,critical
2024-01-04 17:04:04,56,4,8,12,23,1,3,9,3,0.21428571428571427,216.74464285714285,17,3,1,1.3333333333333333,58,56,54,critical,critical,critical
2024-01-04 17:34:04,58,2,6,14,24,2,4,7,7,0.22413793103448276,223.83764367816093,17,3,1,0.8571428571428571,56,56,51,critical,critical,critical
2024-01-04 18:04:04,56,2,3,9,21,3,5,9,0,0.21428571428571427,244.05654761904762,18,3,1,0.6666666666666666,56,54,53,critical,critical,critical
2024-01-04 18:34:04,56,2,6,9,23,4,6,11,-2,0.25,243.7580357142857,18,3,1,1.3333333333333333,54,51,51,critical,critical,critical
2024-01-04 19:04:04,54,1,4,10,19,3,6,12,-2,0.25925925925925924,248.9543209876543,19,3,1,0.8,51,53,48,critical,critical,critical
2024-01-04 19:34:04,51,1,4,8,17,5,7,13,-5,0.27450980392156865,272.4375816993464,19,3,1,1.0,53,51,46,critical,critical,critical
2024-01-04 20:04:04,53,6,8,12,22,2,6,13,-1,0.20754716981132076,272.0745283018868,20,3,1,1.3333333333333333,51,48,41,critical,critical,busy
2024-01-04 20:34:04,51,0,0,8,16,0,2,8,0,0.21568627450980393,301.5584967320262,20,3,1,0.0,48,46,34,critical,critical,busy
2024-01-04 21:04:04,48,2,2,2,14,2,5,7,-5,0.22916666666666666,329.20625,21,3,1,2.0,46,41,31,critical,busy,moderate
2024-01-04 21:34:04,46,1,3,5,13,2,5,10,-5,0.21739130434782608,333.5557971014493,21,3,1,1.2,41,34,27,busy,busy,moderate
2024-01-04 22:04:04,41,0,0,3,5,3,5,10,-7,0.21951219512195122,345.2369918699187,22,3,1,0.0,34,31,27,busy,moderate,moderate
2024-01-04 22:34:04,34,0,0,0,5,5,7,12,-12,0.20588235294117646,360.0911764705882,22,3,1,1.0,31,27,22,moderate,moderate,low
2024-01-04 23:04:04,31,2,2,2,5,4,5,12,-10,0.22580645161290322,351.5064516129032,23,3,1,2.0,27,27,20,moderate,moderate,low
2024-01-04 23:34:04,27,1,1,3,3,2,5,10,-7,0.25925925925925924,376.9888888888889,23,3,1,0.6666666666666666,27,22,21,moderate,low,low
2024-01-05 00:04:04,27,1,2,3,5,2,2,7,-4,0.2962962962962963,387.86296296296297,0,4,1,1.3333333333333333,22,20,24,low,low,moderate
2024-01-05 00:34:04,22,0,1,3,6,3,6,8,-5,0.36363636363636365,369.1227272727273,0,4,1,0.6666666666666666,20,21,22,low,low,low
2024-01-05 01:04:04,20,0,1,2,5,2,3,9,-7,0.4,386.47249999999997,1,4,1,1.0,21,24,21,low,moderate,low
2024-01-05 01:34:04,21,1,3,4,7,2,2,5,-1,0.3333333333333333,363.03809523809525,1,4,1,1.5,24,22,14,moderate,low,low
2024-01-05 02:04:04,24,1,3,6,8,0,0,2,4,0.2916666666666667,345.83194444444445,2,4,1,1.0,22,21,19,low,low,low
2024-01-05 02:34:04,22,1,1,4,8,2,3,3,1,0.2727272727272727,326.35,2,4,1,0.5,21,14,21,low,low,low
2024-01-05 03:04:04,21,0,1,2,8,2,2,5,-3,0.23809523809523808,356.89365079365075,3,4,1,1.0,14,19,21,low,low,low
2024-01-05 03:34:04,14,0,0,1,5,4,7,9,-8,0.21428571428571427,406.35833333333335,3,4,1,0.0,19,21,21,low,low,low
2024-01-05 04:04:04,19,4,5,5,7,0,0,7,-2,0.15789473684210525,324.5736842105263,4,4,1,2.0,21,21,20,low,low,low
2024-01-05 04:34:04,21,1,2,7,8,0,0,0,7,0.19047619047619047,322.3230158730159,4,4,1,0.5714285714285714,21,21,21,low,low,low
2024-01-05 05:04:04,21,0,1,3,8,0,1,1,2,0.19047619047619047,346.5174603174603,5,4,1,0.6666666666666666,21,20,22,low,low,low
2024-01-05 05:34:04,21,1,1,2,9,1,1,2,0,0.14285714285714285,349.3380952380952,5,4,1,1.0,20,21,22,low,low,low
2024-01-05 06:04:04,20,0,1,2,5,0,2,3,-1,0.15,380.7808333333333,6,4,1,1.0,21,22,21,low,low,low
2024-01-05 06:34:04,21,2,2,3,5,0,1,3,0,0.09523809523809523,328.55,6,4,1,1.3333333333333333,22,22,23,low,low,moderate
2024-01-05 07:04:04,22,1,1,3,5,0,0,1,2,0.09090909090909091,342.36136363636365,7,4,1,0.6666666666666666,22,21,22,low,low,low
2024-01-05 07:34:04,22,0,1,2,5,1,1,1,1,0.09090909090909091,368.1992424242424,7,4,1,1.0,21,23,20,low,moderate,low
2024-01-05 08:04:04,21,0,2,3,6,2,3,4,-1,0.14285714285714285,361.015873015873,8,4,1,1.3333333333333333,23,22,23,moderate,low,moderate
2024-01-05 08:34:04,23,5,8,10,12,1,6,9,1,0.13043478260869565,195.2231884057971,8,4,1,1.6,22,20,27,low,low,moderate
2024-01-05 09:04:04,22,0,2,10,13,1,3,9,1,0.13636363636363635,200.60227272727272,9,4,1,0.4,20,23,27,low,moderate,moderate
2024-01-05 09:34:04,20,0,3,5,15,2,5,8,-3,0.15,194.34,9,4,1,1.2,23,27,32,moderate,moderate,moderate
2024-01-05 10:04:04,23,3,4,7,17,0,1,6,1,0.13043478260869565,192.05,10,4,1,1.1428571428571428,27,27,39,moderate,moderate,busy
2024-01-05 10:34:04,27,1,5,9,14,1,1,2,7,0.14814814814814814,146.26728395061727,10,4,1,1.1111111111111112,27,32,39,moderate,moderate,busy
2024-01-05 11:04:04,27,1,5,10,17,2,5,6,4,0.2222222222222222,124.73641975308642,11,4,1,1.0,32,39,43,moderate,busy,busy
2024-01-05 11:34:04,32,3,6,11,20,0,1,6,5,0.25,129.6640625,11,4,1,1.0909090909090908,39,39,42,busy,busy,busy
2024-01-05 12:04:04,39,4,8,14,24,0,1,2,12,0.23076923076923078,129.90726495726497,12,4,1,1.1428571428571428,39,43,40,busy,busy,busy
2024-01-05 12:34:04,39,1,2,10,21,0,2,3,7,0.2564102564102564,151.96025641025642,12,4,1,0.4,43,42,38,busy,busy,busy
2024-01-05 13:04:04,43,3,5,7,21,0,1,3,4,0.23255813953488372,162.16201550387595,13,4,1,1.4285714285714286,42,40,43,busy,busy,busy
2024-01-05 13:34:04,42,2,3,8,18,2,4,5,3,0.21428571428571427,180.54603174603173,13,4,1,0.75,40,38,46,busy,busy,critical
2024-01-05 14:04:04,40,2,4,7,14,2,6,10,-3,0.175,187.95541666666668,14,4,1,1.1428571428571428,38,43,45,busy,busy,critical
2024-01-05 14:34:04,38,2,4,8,16,5,6,12,-4,0.18421052631578946,188.57894736842107,14,4,1,1.0,43,46,42,busy,critical,busy
2024-01-05 15:04:04,43,2,6,10,17,0,1,7,3,0.16279069767441862,189.53682170542638,15,4,1,1.2,46,45,45,critical,critical,critical
2024-01-05 15:34:04,46,3,5,11,19,1,2,3,8,0.15217391304347827,190.39601449275364,15,4,1,0.9090909090909091,45,42,43,critical,busy,busy
2024-01-05 16:04:04,45,1,3,8,18,2,4,6,2,0.2222222222222222,208.25407407407408,16,4,1,0.75,42,45,42,busy,critical,busy
2024-01-05 16:34:04,42,0,4,7,18,4,7,11,-4,0.23809523809523808,214.08174603174604,16,4,1,1.1428571428571428,45,43,40,critical,busy,busy
2024-01-05 17:04:04,45,2,7,11,19,3,4,11,0,0.17777777777777778,213.58444444444447,17,4,1,1.2727272727272727,43,42,45,busy,busy,critical
2024-01-05 17:34:04,43,4,5,12,19,3,7,11,1,0.20930232558139536,218.18100775193798,17,4,1,0.8333333333333334,42,40,46,busy,busy,critical
2024-01-05 18:04:04,42,2,3,8,19,4,4,11,-3,0.19047619047619047,221.16309523809522,18,4,1,0.75,40,45,46,busy,critical,critical
2024-01-05 18:34:04,40,0,3,6,18,4,5,9,-3,0.175,230.23624999999998,18,4,1,1.0,45,46,45,critical,critical,critical
2024-01-05 19:04:04,45,1,5,8,16,0,0,5,3,0.17777777777777778,233.4922222222222,19,4,1,1.25,46,46,40,critical,critical,busy
2024-01-05 19:34:04,46,4,5,10,16,2,4,4,6,0.13043478260869565,217.36159420289857,19,4,1,1.0,46,45,36,critical,critical,busy
2024-01-05 20:04:04,46,3,5,10,18,2,5,9,1,0.17391304347826086,214.9626811594203,20,4,1,1.0,45,40,34,critical,busy,busy
2024-01-05 20:34:04,45,1,2,7,17,1,3,8,-1,0.2,216.7711111111111,20,4,1,0.5714285714285714,40,36,34,busy,busy,busy
