event_id,doctor_id,department,logged_time,resolved_time
ca410b6f-6f31-4538-9c2c-bbd784f59a50,DOC_GEN_1,General Physician,2026-08-14 13:26:23.460793,2026-08-14 14:24:20.222755
497601c0-9791-4d97-9c6d-2c3dbf303b6a,DOC_ORT_1,Orthopedics,2026-08-14 13:53:19.452147,2026-08-14 14:50:53.885076
0a66a19a-369e-4afb-b54f-015b966c36c9,DOC_CAR_2,Cardiology,2026-08-17 10:30:11.476216,2026-08-17 11:17:57.770867
7441f4c4-ea54-4a8e-9986-10936f116182,DOC_ORT_2,Orthopedics,2026-08-18 15:27:57.425126,2026-08-18 16:19:04.660242
7b20074a-eb62-4ec1-8950-41bdb7c58eaf,DOC_GEN_2,General Physician,2026-08-19 11:39:01.635318,2026-08-19 12:10:14.040562
59760dd4-1a14-4ccf-ad30-decf4315436b,DOC_CAR_2,Cardiology,2026-08-19 10:12:56.457204,2026-08-19 10:45:20.960544
9271f7c7-1d4c-43f9-acf5-94a20c421939,DOC_PED_1,Pediatrics,2026-08-19 14:26:31.788456,2026-08-19 14:46:40.158155
b4885488-def9-4803-96c4-744fd094b879,DOC_PED_2,Pediatrics,2026-08-19 12:48:16.515408,2026-08-19 13:25:34.514378
9989fc41-196d-4520-abaa-9e98e29469fc,DOC_PED_2,Pediatrics,2026-08-19 12:57:43.207537,2026-08-19 13:36:39.113971
35051594-254a-47e7-ba57-3af462332f62,DOC_PED_2,Pediatrics,2026-08-19 15:07:47.771175,2026-08-19 15:42:49.652812
17ecf535-23f6-4ddd-ba28-964a4e9a67b2,DOC_GEN_2,General Physician,2026-08-20 10:08:24.679737,2026-08-20 11:07:38.292850
b192a616-8404-4029-bcac-29fe696440e0,DOC_CAR_2,Cardiology,2026-08-20 11:57:04.623524,2026-08-20 12:43:48.855688
50e935c0-5947-41cb-b4c9-9de1e0c4a788,DOC_ORT_1,Orthopedics,2026-08-20 10:10:08.678448,2026-08-20 10:42:50.396370
ea9f9a59-75bc-4cdd-b588-e5635fbcbe61,DOC_GEN_2,General Physician,2026-08-21 10:32:19.924468,2026-08-21 11:19:39.138202
6cdb8d67-c7e9-423d-8b99-536fa039b880,DOC_ORT_1,Orthopedics,2026-08-21 11:57:01.480009,2026-08-21 12:56:43.687385
7aeea324-24b2-4ad9-9f98-2792ff06d3a7,DOC_CAR_1,Cardiology,2026-08-24 13:15:29.261971,2026-08-24 14:14:40.049214
c4b55b2a-8ea6-4627-b359-b71c2e0d4dad,DOC_PED_1,Pediatrics,2026-08-24 11:14:28.949921,2026-08-24 12:06:15.191662
e2ed0eef-3586-48c6-845b-bff5a87d7a59,DOC_GEN_2,General Physician,2026-08-25 10:35:12.276141,2026-08-25 11:19:35.253579
d3c3b4bd-9d98-4d2e-8d49-d6fabc1c8c41,DOC_GEN_2,General Physician,2026-08-25 12:19:22.319298,2026-08-25 12:52:36.231185
3dc5f52e-4e37-4f4a-81e3-f14d8b8e861a,DOC_GEN_2,General Physician,2026-08-25 15:44:25.861019,2026-08-25 16:10:11.976363
f19b097c-f726-459b-8965-f0eecc004c52,DOC_ORT_1,Orthopedics,2026-08-25 14:04:47.152372,2026-08-25 14:40:01.357314
4511a60e-28b6-4840-bcbd-f3c3a698d802,DOC_PED_2,Pediatrics,2026-08-25 12:11:38.007940,2026-08-25 12:43:10.902468
181d8317-9279-4bf9-b542-2959e783a9f2,DOC_GEN_1,General Physician,2026-08-26 13:32:10.646219,2026-08-26 14:31:20.504526
1dd30f09-9098-46e7-8c65-50df760947b4,DOC_GEN_2,General Physician,2026-08-26 10:44:51.105018,2026-08-26 11:20:29.338603
a82bf703-e6e9-44eb-8ff4-b4caf55e0d29,DOC_GEN_2,General Physician,2026-08-26 15:35:16.976638,2026-08-26 15:59:05.174516
b7dffce5-66f6-411d-aca7-166e92065b6f,DOC_CAR_1,Cardiology,2026-08-26 13:10:38.239181,2026-08-26 13:44:34.348435
f94b6096-7b12-4d1b-82f5-aa07bef89ead,DOC_CAR_2,Cardiology,2026-08-26 12:44:26.359386,2026-08-26 13:16:58.268687
bc2f3ebd-a714-437e-8343-eff66422e6df,DOC_PED_2,Pediatrics,2026-08-26 11:15:31.634518,2026-08-26 12:05:26.407090
a754e022-bf32-43a7-933a-a00a4cea4218,DOC_GEN_1,General Physician,2026-08-27 11:07:10.425589,2026-08-27 11:46:19.598961
d2e01a0c-2a56-4221-a245-8ff5ca821289,DOC_ORT_1,Orthopedics,2026-08-28 15:29:50.201000,2026-08-28 16:09:05.789580
53bfb344-07ab-4a34-93b1-18f1ef44589b,DOC_CAR_2,Cardiology,2026-08-31 12:56:56.616950,2026-08-31 13:32:15.367446
7428227f-6268-403e-aedc-ba75c9a8ed29,DOC_CAR_2,Cardiology,2026-08-31 15:09:08.110475,2026-08-31 15:31:40.062374
0d092ee8-8029-48f8-8848-52a957bddd84,DOC_PED_1,Pediatrics,2026-08-31 10:31:09.281529,2026-08-31 11:22:53.301937
4521be90-c1f8-43f8-8dd9-3e0057f3eb49,DOC_GEN_2,General Physician,2026-09-01 14:26:56.248110,2026-09-01 15:05:46.164248
02ae74b6-8629-4e9a-8139-e56848e62413,DOC_PED_1,Pediatrics,2026-09-01 10:52:40.413509,2026-09-01 11:22:49.305227
598789c8-97e0-46df-baaf-9e69ce379269,DOC_GEN_2,General Physician,2026-09-03 13:17:07.836567,2026-09-03 14:03:36.983299
a106671f-a1ae-43f1-9dfc-2f5884be5788,DOC_GEN_2,General Physician,2026-09-03 15:02:43.995820,2026-09-03 15:27:21.812653
79c89f4b-91aa-4fab-805f-9d06e028dc0b,DOC_CAR_1,Cardiology,2026-09-03 10:48:38.081139,2026-09-03 11:41:27.647097
b7266bc7-09d0-42ff-b61e-7c9a4e7d9768,DOC_CAR_1,Cardiology,2026-09-03 15:24:13.719400,2026-09-03 16:14:04.695427
531afca9-94fb-4d8f-84c8-0ada43151e2a,DOC_CAR_1,Cardiology,2026-09-03 15:34:24.355904,2026-09-03 16:01:02.911984
cd665d04-7f89-4ab9-a011-5a8597faab9a,DOC_CAR_2,Cardiology,2026-09-03 14:21:21.845724,2026-09-03 15:06:00.768814
35eb10e6-2246-4fa6-8f34-f2c93a2ce1f4,DOC_ORT_1,Orthopedics,2026-09-03 12:04:18.574740,2026-09-03 12:29:08.578896
24f589d6-918d-4422-9020-617cb712a159,DOC_ORT_2,Orthopedics,2026-09-03 12:09:31.653764,2026-09-03 12:45:59.778198
f18c666e-5296-4a47-86a8-88036757fd9f,DOC_ORT_2,Orthopedics,2026-09-03 15:28:35.769786,2026-09-03 16:14:10.667981
